left_x,left_y,right_x,right_y,mid_x,mid_y
-21.022021382232197,7.337466646917164,-27.047131694853306,6.327876569703221,-24.03457653854275,6.832671608310193
-21.37440082087997,6.40921642722684,-26.804226857313513,5.35776705921709,-24.08931383909674,5.883491743221965
-21.46973383883397,5.41461525908065,-26.561322019773716,4.387657548730959,-24.015527929303843,4.901136403905804
-21.46144310677238,4.414978071357562,-26.30056094010937,3.4234842625474724,-23.881002023440875,3.9192311669525175
-21.324046600667756,3.4244266888524644,-25.914293450827998,2.501034996105063,-23.619170025747877,2.9627308424787637
-21.059055472411014,2.464195680259265,-25.496170509365736,1.5947638961236585,-23.277612990888375,2.0294797881914617
-20.667826979402115,1.5469469390040453,-24.979196778562223,0.7386953333934467,-22.823511878982167,1.1428211361987461
-20.144616674134564,0.6966021579088524,-24.39656536406889,-0.07181091363472403,-22.27059101910173,0.3123956221370642
-19.582867747689438,-0.13074781937419955,-23.7755327368491,-0.8556691268112928,-21.679200242269268,-0.4932084730927462
-18.96745849577699,-0.9183461967122345,-23.152249267979762,-1.6376728005902423,-21.059853881878375,-1.2780094986512385
-18.339654699255686,-1.6967626882808242,-22.501657510535452,-2.3971763144605833,-20.42065610489557,-2.046969501370704
-17.711850902734376,-2.475179179849413,-21.851065753091138,-3.1566798283309248,-19.78145832791276,-2.815929504090169
-17.059724449296418,-3.2332982737237748,-21.200473995646824,-3.916183342201266,-19.13009922247162,-3.5747408079625203
-16.40623182521534,-3.9902772903049137,-20.549882238202514,-4.675686856071609,-18.47805703170893,-4.332982073188261
-15.752739201134265,-4.747256306886052,-19.8992904807582,-5.435190369941949,-17.826014840946232,-5.091223338414
-15.099246577053187,-5.50423532346719,-19.248698723313886,-6.194693883812292,-17.173972650183536,-5.849464603639741
-14.459265466846297,-6.2725200515330215,-18.598106965869576,-6.954197397682632,-16.528686216357936,-6.613358724607827
-13.829409781105767,-7.049277192737948,-17.947515208425262,-7.713700911552974,-15.888462494765514,-7.3814890521454615
-13.19955409536524,-7.826034333942872,-17.296923450980948,-8.473204425423315,-15.248238773173094,-8.149619379683093
-12.569698409624712,-8.602791475147797,-16.63736936456677,-9.224893191056283,-14.60353388709574,-8.913842333102039
-11.939842723884183,-9.379548616352722,-15.973528559575056,-9.972844130666516,-13.95668564172962,-9.676196373509619
-11.30560773880471,-10.152694453717032,-15.325225849093774,-10.733874548992402,-13.315416793949243,-10.443284501354718
-10.663035562382905,-10.91896518874549,-14.701464373321722,-11.515563005974176,-12.682249967852314,-11.217264097359834
-10.020463385961092,-11.685235923773956,-14.077702897549667,-12.297251462955952,-12.049083141755379,-11.991243693364954
-9.377891209539284,-12.451506658802415,-13.453941421777618,-13.078939919937724,-11.41591631565845,-12.76522328937007
-8.735319033117475,-13.217777393830877,-12.830179946005565,-13.860628376919497,-10.782749489561521,-13.539202885375186
-8.114799945049343,-14.0018814110872,-12.20641847023351,-14.642316833901273,-10.160609207641427,-14.322099122494237
-7.499950447834456,-14.7905701564406,-11.582656994461457,-15.424005290883049,-9.541303721147957,-15.107287723661823
-6.885100950619569,-15.579258901793997,-10.958895518689408,-16.205693747864817,-8.921998234654488,-15.892476324829406
-6.269680148089194,-16.367486476684327,-10.335134042917357,-16.98738220484659,-8.302407095503275,-16.67743434076546
-5.628434865674186,-17.1348679522576,-9.7113725671453,-17.76907066182837,-7.669903716409744,-17.451969307042987
-4.987189583259177,-17.90224942783087,-9.087611091373251,-18.55075911881014,-7.037400337316214,-18.226504273320508
-4.345944300844167,-18.669630903404148,-8.45812209321524,-19.32783259213855,-6.402033197029703,-18.998731747771348
-3.7132381579434024,-19.44404093737265,-7.826977307993672,-20.103571905647605,-5.770107732968537,-19.77380642151013
-3.0834555212840593,-20.22085730681586,-7.195832522772108,-20.879311219156655,-5.139644022028083,-20.550084262986257
-2.4536728846247207,-20.997673676259062,-6.564687737550544,-21.655050532665708,-4.509180311087633,-21.326362104462383
-1.8281614090946716,-21.777862554562475,-5.933542952328976,-22.430789846174765,-3.8808521807118237,-22.104326200368618
-1.2185928126191474,-22.570639930288714,-5.302398167107407,-23.20652915968382,-3.260495489863277,-22.888584544986266
-0.6090242161436275,-23.36341730601495,-4.671253381885844,-23.98226847319287,-2.6401387990147356,-23.67284288960391
-0.001955856638281628,-24.158108846093203,-4.04010859666428,-24.758007786701924,-2.021032226651281,-24.458058316397562
0.6043045039009807,-24.953418984662633,-3.408963811442711,-25.53374710021098,-1.4023296537708654,-25.243583042436807
1.1916223177259468,-25.761758318108136,-2.7778190262211435,-26.309486413720034,-0.7930983542475983,-26.035622365914087
1.717474908980617,-26.612375090540514,-2.2165064580054326,-27.137027458683097,-0.2495157745124078,-26.874701274611805
2.2425770864702392,-27.463453878600834,-1.657641192092594,-27.966355145812354,0.29246794718882263,-27.714904512206594
2.765320526683115,-28.31598489679719,-1.0994673922607268,-28.79614863314347,0.8329265672111941,-28.556066764970332
3.2880639668959977,-29.16851591499356,-0.5412935924288593,-29.625942120474587,1.3733851872335692,-29.397229017734073
3.810807407108877,-30.021046933189922,-0.03780712582596313,-30.489904948900374,1.886500140641457,-30.255475941045148
4.333550847321753,-30.873577951386277,0.4414025396572108,-31.36651151927651,2.3874766934894818,-31.120044735331394
4.738155933624015,-31.788023802637824,0.8466702120499408,-32.28077260679433,2.792413072836978,-32.03439820471608
5.1417426691132935,-32.70300335880813,1.2519378844426705,-33.195033694312144,3.1968402767779818,-32.94901852656014
