right_x,right_y
-27.047131694853306,6.327876569703221
-26.804226857313513,5.35776705921709
-26.561322019773716,4.387657548730959
-26.30056094010937,3.4234842625474724
-25.914293450827998,2.501034996105063
-25.496170509365736,1.5947638961236585
-24.979196778562223,0.7386953333934467
-24.39656536406889,-0.07181091363472403
-23.7755327368491,-0.8556691268112928
-23.152249267979762,-1.6376728005902423
-22.501657510535452,-2.3971763144605833
-21.851065753091138,-3.1566798283309248
-21.200473995646824,-3.916183342201266
-20.549882238202514,-4.675686856071609
-19.8992904807582,-5.435190369941949
-19.248698723313886,-6.194693883812292
-18.598106965869576,-6.954197397682632
-17.947515208425262,-7.713700911552974
-17.296923450980948,-8.473204425423315
-16.63736936456677,-9.224893191056283
-15.973528559575056,-9.972844130666516
-15.325225849093774,-10.733874548992402
-14.701464373321722,-11.515563005974176
-14.077702897549667,-12.297251462955952
-13.453941421777618,-13.078939919937724
-12.830179946005565,-13.860628376919497
-12.20641847023351,-14.642316833901273
-11.582656994461457,-15.424005290883049
-10.958895518689408,-16.205693747864817
-10.335134042917357,-16.98738220484659
-9.7113725671453,-17.76907066182837
-9.087611091373251,-18.55075911881014
-8.45812209321524,-19.32783259213855
-7.826977307993672,-20.103571905647605
-7.195832522772108,-20.879311219156655
-6.564687737550544,-21.655050532665708
-5.933542952328976,-22.430789846174765
-5.302398167107407,-23.20652915968382
-4.671253381885844,-23.98226847319287
-4.04010859666428,-24.758007786701924
-3.408963811442711,-25.53374710021098
-2.7778190262211435,-26.309486413720034
-2.2165064580054326,-27.137027458683097
-1.657641192092594,-27.966355145812354
-1.0994673922607268,-28.79614863314347
-0.5412935924288593,-29.625942120474587
-0.03780712582596313,-30.489904948900374
0.4414025396572108,-31.36651151927651
0.8466702120499408,-32.28077260679433
1.2519378844426705,-33.195033694312144
1.6572055568353974,-34.10929478182995
2.0624732292281274,-35.023555869347774
2.467740901620857,-35.93781695686559
2.8284959881435556,-36.87047376819858
3.1869050652230624,-37.80410011524696
3.5004862188148858,-38.751796964175725
3.739891037045358,-39.7227761377134
3.9792958552758306,-40.69375531125109
4.2187006735063015,-41.66473448478876
4.458105491736774,-42.63571365832644
4.697510309967246,-43.606692831864116
4.891559452026446,-44.58605297083188
5.014956895758638,-45.578468354285924
5.138354339490831,-46.57088373773998
5.261751783223022,-47.56329912119402
5.329312680199228,-48.56025774157285
5.367975404862051,-49.55956771158092
5.4066381295248735,-50.558877681588974
5.392214067516499,-51.557839637557734
5.340453139952717,-52.55655682916586
5.288692212388935,-53.555274020773965
5.236931284825153,-54.553991212382094
5.185170357261371,-55.552708403990216
